spent-media,temp(G),species,od,time point,,
S18,25,S56(S18),0.01,26,,
S18,25,S56(S18),0.006333333,38,,
S18,25,S56(S18),0.005333333,44,,
S18,25,S56(S18),0.004333333,50,,
S18,25,S56(S18),0.006166667,62,,
S18,25,S56(S18),0.007666667,68,,
S18,25,S56(S18),0.008166667,74,,
S18,25,S56(S18),0.0065,86,,
S18,25,S56(S18),0.007,92,,
S18,25,S56(S18),0.007,110,,
S18,25,S56(S18),0.005833333,116,,
S18,25,S56(S18),0.0055,122,,
S18,28,S56(S18),-0.0011,0,,
S18,28,S56(S18),0.060633333,13,,
S18,28,S56(S18),0.0992,19,,
S18,28,S56(S18),0.1305,25,,
S18,28,S56(S18),0.174333333,37,,
S18,28,S56(S18),0.183833333,43,,
S18,28,S56(S18),0.184066667,49,,
S18,28,S56(S18),0.207633333,61,,
S18,28,S56(S18),0.240366667,67,,
S18,28,S56(S18),0.234033333,73,,
S18,28,S56(S18),0.254533333,85,,
S18,28,S56(S18),0.2784,91,,
S18,28,S56(S18),0.286966667,109,,
S18,28,S56(S18),0.1991,115,,
S18,28,S56(S18),0.2243,121,,
S18,12,BB19_16(S18),-0.0013,0,,
S18,12,BB19_16(S18),0.103533333,17,,
S18,12,BB19_16(S18),0.125166667,23,,
S18,12,BB19_16(S18),0.135566667,29,,
S18,12,BB19_16(S18),0.212133333,41,,
S18,12,BB19_16(S18),0.193333333,47,,
S18,12,BB19_16(S18),0.233333333,53,,
S18,12,BB19_16(S18),0.288633333,65,,
S18,12,BB19_16(S18),0.2918,71,,
S18,12,BB19_16(S18),0.292133333,77,,
S18,12,BB19_16(S18),0.2978,89,,
S18,12,BB19_16(S18),0.287966667,95,,
S18,12,BB19_16(S18),0.28986,101,,
S18,12,BB19_16(S18),0.290466667,113,,
S18,12,BB19_16(S18),0.2848,119,,
S18,12,BB19_16(S18),0.279033333,125,,
S18,15,BB19_16(S18),0.006166667,0,,
S18,15,BB19_16(S18),0.096833333,16,,
S18,15,BB19_16(S18),0.120166667,22,,
S18,15,BB19_16(S18),0.1635,28,,
S18,15,BB19_16(S18),0.226,40,,
S18,15,BB19_16(S18),0.230333333,46,,
S18,15,BB19_16(S18),0.246666667,52,,
S18,15,BB19_16(S18),0.258,64,,
S18,15,BB19_16(S18),0.232833333,70,,
S18,15,BB19_16(S18),0.253333333,76,,
S18,15,BB19_16(S18),0.2535,88,,
S18,15,BB19_16(S18),0.2495,94,,
S18,15,BB19_16(S18),0.254166667,112,,
S18,15,BB19_16(S18),0.2485,118,,
S18,15,BB19_16(S18),0.241333333,124,,
S18,18,BB19_16(S18),0.00007,0,,
S18,18,BB19_16(S18),0.103433333,15,,
S18,18,BB19_16(S18),0.131266667,21,,
S18,18,BB19_16(S18),0.182933333,27,,
S18,18,BB19_16(S18),0.219166667,39,,
S18,18,BB19_16(S18),0.209066667,45,,
S18,18,BB19_16(S18),0.201066667,51,,
S18,18,BB19_16(S18),0.201133333,63,,
S18,18,BB19_16(S18),0.197266667,69,,
S18,18,BB19_16(S18),0.194933333,75,,
S18,18,BB19_16(S18),0.198533333,87,,
S18,18,BB19_16(S18),0.190566667,93,,
S18,18,BB19_16(S18),0.197233333,111,,
S18,18,BB19_16(S18),0.189133333,117,,
S18,18,BB19_16(S18),0.1856,123,,
S18,21,BB19_16(S18),0.005,0,,
S18,21,BB19_16(S18),0.080666667,15,,
S18,21,BB19_16(S18),0.125833333,21,,
S18,21,BB19_16(S18),0.1765,27,,
S18,21,BB19_16(S18),0.200833333,39,,
S18,21,BB19_16(S18),0.193833333,45,,
S18,21,BB19_16(S18),0.194166667,51,,
S18,21,BB19_16(S18),0.198833333,63,,
S18,21,BB19_16(S18),0.195333333,69,,
S18,21,BB19_16(S18),0.192833333,75,,
S18,21,BB19_16(S18),0.2005,87,,
S18,21,BB19_16(S18),0.192666667,93,,
S18,21,BB19_16(S18),0.200833333,111,,
S18,21,BB19_16(S18),0.188666667,117,,
S18,21,BB19_16(S18),0.186166667,123,,
S18,25,BB19_16(S18),-0.000666667,0,,
S18,25,BB19_16(S18),0.0595,14,,
S18,25,BB19_16(S18),0.1125,20,,
S18,25,BB19_16(S18),0.1495,26,,
S18,25,BB19_16(S18),0.200833333,38,,
S18,25,BB19_16(S18),0.201666667,44,,
S18,25,BB19_16(S18),0.2005,50,,
S18,25,BB19_16(S18),0.202666667,62,,
S18,25,BB19_16(S18),0.2045,68,,
S18,25,BB19_16(S18),0.150166667,74,,
S18,25,BB19_16(S18),0.207166667,86,,
S18,25,BB19_16(S18),0.2245,92,,
S18,25,BB19_16(S18),0.114,110,,
S18,25,BB19_16(S18),0.1315,116,,
S18,25,BB19_16(S18),0.127166667,122,,
S18,28,BB19_16(S18),0.012166667,0,,
S18,28,BB19_16(S18),0.0765,13,,
S18,28,BB19_16(S18),0.088833333,19,,
S18,28,BB19_16(S18),0.094666667,25,,
S18,28,BB19_16(S18),0.1115,37,,
S18,28,BB19_16(S18),0.112666667,43,,
S18,28,BB19_16(S18),0.111333333,49,,
S18,28,BB19_16(S18),0.115166667,61,,
S18,28,BB19_16(S18),0.1085,67,,
S18,28,BB19_16(S18),0.116833333,73,,
S18,28,BB19_16(S18),0.124333333,85,,
S18,28,BB19_16(S18),0.132333333,91,,
S18,28,BB19_16(S18),0.1335,109,,
S18,28,BB19_16(S18),0.098666667,115,,
S18,28,BB19_16(S18),0.111333333,121,,
S18,12,WYC41_02(S18),-0.0052,0,,
S18,12,WYC41_02(S18),0.12295,17,,
S18,12,WYC41_02(S18),0.1645,23,,
S18,12,WYC41_02(S18),0.19715,29,,
S18,12,WYC41_02(S18),0.1888,41,,
S18,12,WYC41_02(S18),0.1895,47,,
S18,12,WYC41_02(S18),0.22025,53,,
S18,12,WYC41_02(S18),0.2098,65,,
S18,12,WYC41_02(S18),0.22555,71,,
S18,12,WYC41_02(S18),0.22655,77,,
S18,12,WYC41_02(S18),0.2338,89,,
S18,12,WYC41_02(S18),0.2283,95,,
S18,12,WYC41_02(S18),0.2309,101,,
S18,12,WYC41_02(S18),0.235966667,113,,
S18,12,WYC41_02(S18),0.224633333,119,,
S18,12,WYC41_02(S18),0.2283,125,,
S18,15,WYC41_02(S18),0.0041,0,,
S18,15,WYC41_02(S18),0.154433333,16,,
S18,15,WYC41_02(S18),0.178633333,22,,
S18,15,WYC41_02(S18),0.194366667,28,,
S18,15,WYC41_02(S18),0.208533333,40,,
S18,15,WYC41_02(S18),0.200866667,46,,
S18,15,WYC41_02(S18),0.196366667,52,,
S18,15,WYC41_02(S18),0.199266667,64,,
S18,15,WYC41_02(S18),0.188366667,70,,
S18,15,WYC41_02(S18),0.2012,76,,
S18,15,WYC41_02(S18),0.211833333,88,,
S18,15,WYC41_02(S18),0.206,94,,
S18,15,WYC41_02(S18),0.2286,112,,
S18,15,WYC41_02(S18),0.2107,118,,
S18,15,WYC41_02(S18),0.180366667,124,,
S18,18,WYC41_02(S18),-0.006766667,0,,
S18,18,WYC41_02(S18),0.131766667,15,,
S18,18,WYC41_02(S18),0.1571,21,,
S18,18,WYC41_02(S18),0.161933333,27,,
S18,18,WYC41_02(S18),0.154,39,,
S18,18,WYC41_02(S18),0.1539,45,,
S18,18,WYC41_02(S18),0.152233333,51,,
S18,18,WYC41_02(S18),0.161966667,63,,
S18,18,WYC41_02(S18),0.1651,69,,
S18,18,WYC41_02(S18),0.166766667,75,,
S18,18,WYC41_02(S18),0.1812,87,,
S18,18,WYC41_02(S18),0.1824,93,,
S18,18,WYC41_02(S18),0.203733333,111,,
S18,18,WYC41_02(S18),0.2078,117,,
S18,18,WYC41_02(S18),0.2041,123,,
S18,21,WYC41_02(S18),-0.001333333,0,,
S18,21,WYC41_02(S18),0.119166667,15,,
S18,21,WYC41_02(S18),0.1815,21,,
S18,21,WYC41_02(S18),0.177833333,27,,
S18,21,WYC41_02(S18),0.160666667,39,,
S18,21,WYC41_02(S18),0.161,45,,
S18,21,WYC41_02(S18),0.162333333,51,,
S18,21,WYC41_02(S18),0.178666667,63,,
S18,21,WYC41_02(S18),0.175666667,69,,
S18,21,WYC41_02(S18),0.171166667,75,,
S18,21,WYC41_02(S18),0.194166667,87,,
S18,21,WYC41_02(S18),0.189333333,93,,
S18,21,WYC41_02(S18),0.189,111,,
S18,21,WYC41_02(S18),0.173,117,,
S18,21,WYC41_02(S18),0.162833333,123,,
S18,25,WYC41_02(S18),0.023583333,0,,
S18,25,WYC41_02(S18),0.1525,14,,
S18,25,WYC41_02(S18),0.17125,20,,
S18,25,WYC41_02(S18),0.166333333,26,,
S18,25,WYC41_02(S18),0.210583333,38,,
S18,25,WYC41_02(S18),0.25475,44,,
S18,25,WYC41_02(S18),0.293583333,50,,
S18,25,WYC41_02(S18),0.369083333,62,,
S18,25,WYC41_02(S18),0.398666667,68,,
S18,25,WYC41_02(S18),0.416583333,74,,
S18,25,WYC41_02(S18),0.464583333,86,,
S18,25,WYC41_02(S18),0.465583333,92,,
S18,25,WYC41_02(S18),0.537833333,110,,
S18,25,WYC41_02(S18),0.52975,116,,
S18,25,WYC41_02(S18),0.54625,122,,
S18,28,WYC41_02(S18),0.0029,0,,
S18,28,WYC41_02(S18),0.117233333,13,,
S18,28,WYC41_02(S18),0.2036,19,,
S18,28,WYC41_02(S18),0.2463,25,,
S18,28,WYC41_02(S18),0.267533333,37,,
S18,28,WYC41_02(S18),0.283833333,43,,
S18,28,WYC41_02(S18),0.294066667,49,,
S18,28,WYC41_02(S18),0.311433333,61,,
S18,28,WYC41_02(S18),0.316766667,67,,
S18,28,WYC41_02(S18),0.324433333,73,,
S18,28,WYC41_02(S18),0.335733333,85,,
S18,28,WYC41_02(S18),0.3518,91,,
S18,28,WYC41_02(S18),0.343766667,109,,
S18,28,WYC41_02(S18),0.3035,115,,
S18,28,WYC41_02(S18),0.3125,121,,
S18,12,WYM25_02(S18),-0.005966667,0,,
S18,12,WYM25_02(S18),-0.000466667,17,,
S18,12,WYM25_02(S18),0.003,23,,
S18,12,WYM25_02(S18),-0.005933333,29,,
S18,12,WYM25_02(S18),-0.004033333,41,,
S18,12,WYM25_02(S18),-0.007333333,47,,
S18,12,WYM25_02(S18),-0.006,53,,
S18,12,WYM25_02(S18),-0.006033333,65,,
S18,12,WYM25_02(S18),-0.005533333,71,,
S18,12,WYM25_02(S18),-0.005533333,77,,
S18,12,WYM25_02(S18),-0.004866667,89,,
S18,12,WYM25_02(S18),-0.0052,95,,
S18,12,WYM25_02(S18),-0.00512,101,,
S18,12,WYM25_02(S18),-0.0057,113,,
S18,12,WYM25_02(S18),-0.0047,119,,
S18,12,WYM25_02(S18),-0.004966667,125,,
S18,15,WYM25_02(S18),0.003333333,0,,
S18,15,WYM25_02(S18),0.016666667,16,,
S18,15,WYM25_02(S18),0.052166667,22,,
S18,15,WYM25_02(S18),0.145,28,,
S18,15,WYM25_02(S18),0.230333333,40,,
S18,15,WYM25_02(S18),0.197333333,46,,
S18,15,WYM25_02(S18),0.197166667,52,,
S18,15,WYM25_02(S18),0.190666667,64,,
S18,15,WYM25_02(S18),0.1925,70,,
S18,15,WYM25_02(S18),0.200333333,76,,
S18,15,WYM25_02(S18),0.208166667,88,,
S18,15,WYM25_02(S18),0.221333333,94,,
S18,15,WYM25_02(S18),0.2475,112,,
S18,15,WYM25_02(S18),0.250666667,118,,
S18,15,WYM25_02(S18),0.217833333,124,,
S18,18,WYM25_02(S18),-0.0061,0,,
S18,18,WYM25_02(S18),0.129766667,15,,
S18,18,WYM25_02(S18),0.1626,21,,
S18,18,WYM25_02(S18),0.151933333,27,,
S18,18,WYM25_02(S18),0.141833333,39,,
S18,18,WYM25_02(S18),0.1429,45,,
S18,18,WYM25_02(S18),0.1429,51,,
S18,18,WYM25_02(S18),0.150966667,63,,
S18,18,WYM25_02(S18),0.1571,69,,
S18,18,WYM25_02(S18),0.1586,75,,
S18,18,WYM25_02(S18),0.157866667,87,,
S18,18,WYM25_02(S18),0.1599,93,,
S18,18,WYM25_02(S18),0.1939,111,,
S18,18,WYM25_02(S18),0.201466667,117,,
S18,18,WYM25_02(S18),0.2076,123,,
S18,21,WYM25_02(S18),-0.0015,0,,
S18,21,WYM25_02(S18),0.127833333,15,,
S18,21,WYM25_02(S18),0.149,21,,
S18,21,WYM25_02(S18),0.148333333,27,,
S18,21,WYM25_02(S18),0.146666667,39,,
S18,21,WYM25_02(S18),0.143833333,45,,
S18,21,WYM25_02(S18),0.1435,51,,
S18,21,WYM25_02(S18),0.1535,63,,
S18,21,WYM25_02(S18),0.155166667,69,,
S18,21,WYM25_02(S18),0.155833333,75,,
S18,21,WYM25_02(S18),0.1695,87,,
S18,21,WYM25_02(S18),0.1725,93,,
S18,21,WYM25_02(S18),0.1795,111,,
S18,21,WYM25_02(S18),0.175666667,117,,
S18,21,WYM25_02(S18),0.1685,123,,
S18,25,WYM25_02(S18),0.000933333,0,,
S18,25,WYM25_02(S18),0.1189,14,,
S18,25,WYM25_02(S18),0.1521,20,,
S18,25,WYM25_02(S18),0.147433333,26,,
S18,25,WYM25_02(S18),0.153133333,38,,
S18,25,WYM25_02(S18),0.1778,44,,
S18,25,WYM25_02(S18),0.205133333,50,,
S18,25,WYM25_02(S18),0.288433333,62,,
S18,25,WYM25_02(S18),0.301066667,68,,
S18,25,WYM25_02(S18),0.310433333,74,,
S18,25,WYM25_02(S18),0.302833333,86,,
S18,25,WYM25_02(S18),0.313033333,92,,
S18,25,WYM25_02(S18),0.293733333,110,,
S18,25,WYM25_02(S18),0.2802,116,,
S18,25,WYM25_02(S18),0.2809,122,,
S18,28,WYM25_02(S18),0.000833333,0,,
S18,28,WYM25_02(S18),0.126333333,13,,
S18,28,WYM25_02(S18),0.208166667,19,,
S18,28,WYM25_02(S18),0.257,25,,
S18,28,WYM25_02(S18),0.254,37,,
S18,28,WYM25_02(S18),0.2675,43,,
S18,28,WYM25_02(S18),0.282333333,49,,
S18,28,WYM25_02(S18),0.299333333,61,,
S18,28,WYM25_02(S18),0.304833333,67,,
S18,28,WYM25_02(S18),0.3035,73,,
S18,28,WYM25_02(S18),0.307333333,85,,
S18,28,WYM25_02(S18),0.312,91,,
S18,28,WYM25_02(S18),0.306333333,109,,
S18,28,WYM25_02(S18),0.260833333,115,,
S18,28,WYM25_02(S18),0.281833333,121,,
S18,12,WYM25_03(S18),0.0012,0,,
S18,12,WYM25_03(S18),0.0452,17,,
S18,12,WYM25_03(S18),0.108166667,23,,
S18,12,WYM25_03(S18),0.1341,29,,
S18,12,WYM25_03(S18),0.2088,41,,
S18,12,WYM25_03(S18),0.1908,47,,
S18,12,WYM25_03(S18),0.1824,53,,
S18,12,WYM25_03(S18),0.1811,65,,
S18,12,WYM25_03(S18),0.1788,71,,
S18,12,WYM25_03(S18),0.1808,77,,
S18,12,WYM25_03(S18),0.1873,89,,
S18,12,WYM25_03(S18),0.18755,95,,
S18,12,WYM25_03(S18),0.18923,101,,
S18,12,WYM25_03(S18),0.2033,113,,
S18,12,WYM25_03(S18),0.1991,119,,
S18,12,WYM25_03(S18),0.2003,125,,
S18,15,WYM25_03(S18),0.0035,0,,
S18,15,WYM25_03(S18),0.130583333,16,,
S18,15,WYM25_03(S18),0.172083333,22,,
S18,15,WYM25_03(S18),0.170666667,28,,
S18,15,WYM25_03(S18),0.187583333,40,,
S18,15,WYM25_03(S18),0.183416667,46,,
S18,15,WYM25_03(S18),0.178916667,52,,
S18,15,WYM25_03(S18),0.181416667,64,,
S18,15,WYM25_03(S18),0.160916667,70,,
S18,15,WYM25_03(S18),0.17425,76,,
S18,15,WYM25_03(S18),0.199083333,88,,
S18,15,WYM25_03(S18),0.1855,94,,
S18,15,WYM25_03(S18),0.23725,112,,
S18,15,WYM25_03(S18),0.203,118,,
S18,15,WYM25_03(S18),0.155916667,124,,
S18,18,WYM25_03(S18),-0.004266667,0,,
S18,18,WYM25_03(S18),-0.003733333,15,,
S18,18,WYM25_03(S18),-0.003566667,21,,
S18,18,WYM25_03(S18),-0.003566667,27,,
S18,18,WYM25_03(S18),-0.0025,39,,
S18,18,WYM25_03(S18),-0.002766667,45,,
S18,18,WYM25_03(S18),-0.003933333,51,,
S18,18,WYM25_03(S18),-0.0027,63,,
S18,18,WYM25_03(S18),-0.002566667,69,,
S18,18,WYM25_03(S18),-0.002733333,75,,
S18,18,WYM25_03(S18),-0.0033,87,,
S18,18,WYM25_03(S18),-0.003766667,93,,
S18,18,WYM25_03(S18),-0.002933333,111,,
S18,18,WYM25_03(S18),-0.003033333,117,,
S18,18,WYM25_03(S18),-0.003066667,123,,
S18,21,WYM25_03(S18),0.000916667,0,,
S18,21,WYM25_03(S18),0.127,15,,
S18,21,WYM25_03(S18),0.17525,21,,
S18,21,WYM25_03(S18),0.171416667,27,,
