species,od,temp(G),time point
SP03_02,0.209166667,18,80
SP03_02,0.2006,18,92
SP03_02,0.196133333,18,96
SP03_02,0.19272,18,100
SP03_02,0.1898,18,104
SP03_02,0.1892,18,116
SP03_02,0.1884,18,120
SP03_02,0.002433333,21,0
SP03_02,0.0093,21,4
SP03_02,0.064266667,21,8
SP03_02,0.1922,21,20
SP03_02,0.233533333,21,24
SP03_02,0.2588,21,28
SP03_02,0.2868,21,32
SP03_02,0.29185,21,44
SP03_02,0.2317,21,48
SP03_02,0.2069,21,52
SP03_02,0.2065,21,56
SP03_02,0.1972,21,68
SP03_02,0.1957,21,72
SP03_02,0.1853,21,76
SP03_02,0.1878,21,80
SP03_02,0.1991,21,92
SP03_02,0.1886,21,96
SP03_02,0.1907,21,100
SP03_02,0.1805,21,104
SP03_02,0.1972,21,116
SP03_02,0.189,21,120
SP03_02,0.0008,25,0
SP03_02,0.016666667,25,4
SP03_02,0.131466667,25,8
SP03_02,0.185633333,25,20
SP03_02,0.223133333,25,24
SP03_02,0.243416667,25,28
SP03_02,0.24925,25,32
SP03_02,0.245466667,25,44
SP03_02,0.237533333,25,48
SP03_02,0.235366667,25,52
SP03_02,0.226633333,25,56
SP03_02,0.2295,25,68
SP03_02,0.2349,25,72
SP03_02,0.2313,25,76
SP03_02,0.245166667,25,80
SP03_02,0.252533333,25,92
SP03_02,0.2535,25,96
SP03_02,0.24945,25,100
SP03_02,0.2493,25,104
SP03_02,0.229466667,25,116
SP03_02,0.2285,25,120
SP03_02,0.003,28,0
SP03_02,0.023833333,28,4
SP03_02,0.091633333,28,8
SP03_02,0.2242,28,20
SP03_02,0.256333333,28,24
SP03_02,0.284833333,28,28
SP03_02,0.2887,28,32
SP03_02,0.300066667,28,44
SP03_02,0.287233333,28,48
SP03_02,0.302433333,28,52
SP03_02,0.298666667,28,56
SP03_02,0.269933333,28,68
SP03_02,0.258933333,28,72
SP03_02,0.241,28,76
SP03_02,0.228166667,28,80
SP03_02,0.207833333,28,92
SP03_02,0.174833333,28,96
SP03_02,0.181333333,28,100
SP03_02,0.167833333,28,104
SP03_02,0.153666667,28,116
SP03_02,0.145,28,120
SP03_19,0.0083,12,0
SP03_19,0.0095,12,4
SP03_19,0.0112,12,8
SP03_19,0.023333333,12,20
SP03_19,0.049666667,12,24
SP03_19,0.075866667,12,28
SP03_19,0.1042,12,32
SP03_19,0.150133333,12,44
SP03_19,0.150833333,12,48
SP03_19,0.156466667,12,52
SP03_19,0.155333333,12,56
SP03_19,0.154666667,12,68
SP03_19,0.159533333,12,72
SP03_19,0.168966667,12,76
SP03_19,0.171033333,12,80
SP03_19,0.1891,12,92
SP03_19,0.185666667,12,96
SP03_19,0.180833333,12,100
SP03_19,0.177133333,12,104
SP03_19,0.1864,12,116
SP03_19,0.1774,12,120
SP03_19,0.0063,15,0
SP03_19,0.0023,15,4
SP03_19,0.001833333,15,8
SP03_19,0.078866667,15,20
SP03_19,0.114633333,15,24
SP03_19,0.135133333,15,28
SP03_19,0.151166667,15,32
SP03_19,0.169933333,15,44
SP03_19,0.171766667,15,48
SP03_19,0.1763,15,52
SP03_19,0.171033333,15,56
SP03_19,0.192033333,15,68
SP03_19,0.179866667,15,72
SP03_19,0.1797,15,76
SP03_19,0.1841,15,80
SP03_19,0.195533333,15,92
SP03_19,0.1922,15,96
SP03_19,0.187533333,15,100
SP03_19,0.18705,15,104
SP03_19,0.1903,15,116
SP03_19,0.1903,15,120
SP03_19,-0.0016,18,0
SP03_19,-0.0037,18,4
SP03_19,0.0133,18,8
SP03_19,0.108166667,18,20
SP03_19,0.144533333,18,24
SP03_19,0.1725,18,28
SP03_19,0.1838,18,32
SP03_19,0.1877,18,44
SP03_19,0.209,18,48
SP03_19,0.2246,18,52
SP03_19,0.2296,18,56
SP03_19,0.2239,18,68
SP03_19,0.2242,18,72
SP03_19,0.217,18,76
SP03_19,0.2085,18,80
SP03_19,0.192,18,92
SP03_19,0.1872,18,96
SP03_19,0.18552,18,100
SP03_19,0.1808,18,104
SP03_19,0.185,18,116
SP03_19,0.17925,18,120
SP03_19,0.0018,21,0
SP03_19,0.007,21,4
SP03_19,0.04435,21,8
SP03_19,0.1474,21,20
SP03_19,0.170366667,21,24
SP03_19,0.178433333,21,28
SP03_19,0.1778,21,32
SP03_19,0.236766667,21,44
SP03_19,0.2041,21,48
SP03_19,0.1979,21,52
SP03_19,0.1885,21,56
SP03_19,0.207666667,21,68
SP03_19,0.22045,21,72
SP03_19,0.2137,21,76
SP03_19,0.2184,21,80
SP03_19,0.219966667,21,92
SP03_19,0.216533333,21,96
SP03_19,0.2243,21,100
SP03_19,0.214666667,21,104
SP03_19,0.215866667,21,116
SP03_19,0.207,21,120
SP03_19,0.0006,25,0
SP03_19,0.014,25,4
SP03_19,0.115133333,25,8
SP03_19,0.1633,25,20
SP03_19,0.159133333,25,24
SP03_19,0.170916667,25,28
SP03_19,0.16905,25,32
SP03_19,0.214466667,25,44
SP03_19,0.163366667,25,48
SP03_19,0.1992,25,52
SP03_19,0.185633333,25,56
SP03_19,0.18,25,68
SP03_19,0.178066667,25,72
SP03_19,0.162966667,25,76
SP03_19,0.172833333,25,80
SP03_19,0.171533333,25,92
SP03_19,0.1775,25,96
SP03_19,0.17845,25,100
SP03_19,0.166466667,25,104
SP03_19,0.155333333,25,116
SP03_19,0.1601,25,120
SP03_19,0.0089,28,0
SP03_19,0.023833333,28,4
SP03_19,0.0773,28,8
SP03_19,0.2842,28,20
SP03_19,0.2425,28,24
SP03_19,0.198833333,28,28
SP03_19,0.202366667,28,32
SP03_19,0.185066667,28,44
SP03_19,0.168566667,28,48
SP03_19,0.1796,28,52
SP03_19,0.18,28,56
SP03_19,0.181433333,28,68
SP03_19,0.187766667,28,72
SP03_19,0.184166667,28,76
SP03_19,0.1828,28,80
SP03_19,0.176,28,92
SP03_19,0.172316667,28,96
SP03_19,0.171233333,28,100
SP03_19,0.16055,28,104
SP03_19,0.169416667,28,116
SP03_19,0.159616667,28,120
control,0.1365,12,0
control,0.152,12,4
control,0.1702,12,8
control,0.1765,12,20
control,0.169,12,24
control,0.1668,12,28
control,0.1648,12,32
control,0.1652,12,44
control,0.1635,12,48
control,0.1632,12,52
control,0.16,12,56
control,0.1595,12,68
control,0.1553,12,72
control,0.1562,12,76
control,0.1543,12,80
control,0.1515,12,92
control,0.1515,12,96
control,0.152,12,100
control,0.1502,12,104
control,0.1518,12,116
control,0.1501,12,120
control,0.149666667,15,0
control,0.15625,15,4
control,0.16525,15,8
control,0.156333333,15,20
control,0.152666667,15,24
control,0.1532,15,28
control,0.155,15,32
control,0.1554,15,44
control,0.1524,15,48
control,0.1532,15,52
control,0.1514,15,56
control,0.1502,15,68
control,0.1506,15,72
control,0.1518,15,76
control,0.1494,15,80
control,0.146333333,15,92
control,0.145833333,15,96
control,0.146333333,15,100
control,0.145666667,15,104
control,0.147166667,15,116
control,0.147333333,15,120
control,0.1428,18,0
control,0.159166667,18,4
control,0.170833333,18,8
control,0.166,18,20
control,0.157833333,18,24
control,0.1545,18,28
control,0.154,18,32
control,0.1555,18,44
control,0.153833333,18,48
control,0.152,18,52
control,0.151833333,18,56
control,0.156333333,18,68
control,0.155833333,18,72
control,0.158,18,76
control,0.1565,18,80
control,0.159,18,92
control,0.161166667,18,96
control,0.160833333,18,100
control,0.159,18,104
control,0.161,18,116
control,0.151,18,120
control,0.1384,21,0
control,0.1642,21,4
control,0.1664,21,8
control,0.1598,21,20
control,0.1558,21,24
control,0.1534,21,28
control,0.1544,21,32
control,0.154,21,44
control,0.159333333,21,48
control,0.1615,21,52
control,0.1605,21,56
control,0.159,21,68
control,0.157333333,21,72
control,0.157333333,21,76
control,0.152166667,21,80
control,0.150666667,21,92
control,0.148833333,21,96
control,0.149666667,21,100
control,0.1415,21,104
control,0.144833333,21,116
control,0.141,21,120
control,0.138,25,0
control,0.1605,25,4
control,0.1747,25,8
control,0.204666667,25,20
control,0.183666667,25,24
control,0.21875,25,28
control,0.14675,25,32
control,0.241666667,25,44
control,0.2168,25,48
control,0.182166667,25,52
control,0.141166667,25,56
control,0.1887,25,68
control,0.1926,25,72
control,0.165166667,25,76
control,0.14,25,80
control,0.137333333,25,92
control,0.1415,25,96
control,0.150333333,25,100
control,0.145166667,25,104
control,0.139166667,25,116
control,0.176,25,120
control,0.1358,28,0
control,0.1645,28,4
control,0.176166667,28,8
control,0.147833333,28,20
control,0.1585,28,24
control,0.178666667,28,28
control,0.149833333,28,32
control,0.165555556,28,44
control,0.158111111,28,48
control,0.162444444,28,52
control,0.159,28,56
control,0.153888889,28,68
control,0.149555556,28,72
control,0.144777778,28,76
control,0.139777778,28,80
control,0.137666667,28,92
control,0.133888889,28,96
control,0.133888889,28,100
control,0.133555556,28,104
control,0.132222222,28,116
control,0.132,28,120
