species,od,temp(G),time point
S56,0.232466667,25,104
S56,0.2478,25,116
S56,0.2335,25,120
S56,0.0172,28,0
S56,0.0245,28,4
S56,0.043966667,28,8
S56,0.209366667,28,20
S56,0.268166667,28,24
S56,0.272333333,28,28
S56,0.293033333,28,32
S56,0.355066667,28,44
S56,0.3209,28,48
S56,0.298433333,28,52
S56,0.284,28,56
S56,0.3061,28,68
S56,0.2906,28,72
S56,0.2795,28,76
S56,0.277,28,80
S56,0.3002,28,92
S56,0.2666,28,96
S56,0.2604,28,100
S56,0.2198,28,104
S56,0.2562,28,116
S56,0.2314,28,120
BB19_16,0.0039,12,0
BB19_16,0.0155,12,4
BB19_16,0.02367,12,8
BB19_16,0.134166667,12,20
BB19_16,0.1485,12,24
BB19_16,0.158033333,12,28
BB19_16,0.191533333,12,32
BB19_16,0.264466667,12,44
BB19_16,0.268,12,48
BB19_16,0.2788,12,52
BB19_16,0.2895,12,56
BB19_16,0.2925,12,68
BB19_16,0.285366667,12,72
BB19_16,0.2833,12,76
BB19_16,0.2797,12,80
BB19_16,0.283166667,12,92
BB19_16,0.274,12,96
BB19_16,0.274333333,12,100
BB19_16,0.2708,12,104
BB19_16,0.2752,12,116
BB19_16,0.269233333,12,120
BB19_16,0.0123,15,0
BB19_16,0.01635,15,4
BB19_16,0.0392,15,8
BB19_16,0.1822,15,20
BB19_16,0.181966667,15,24
BB19_16,0.2093,15,28
BB19_16,0.2375,15,32
BB19_16,0.316933333,15,44
BB19_16,0.3091,15,48
BB19_16,0.2983,15,52
BB19_16,0.289533333,15,56
BB19_16,0.289366667,15,68
BB19_16,0.280033333,15,72
BB19_16,0.276366667,15,76
BB19_16,0.2771,15,80
BB19_16,0.2802,15,92
BB19_16,0.269533333,15,96
BB19_16,0.2632,15,100
BB19_16,0.2588,15,104
BB19_16,0.257633333,15,116
BB19_16,0.2478,15,120
BB19_16,0.0014,18,0
BB19_16,0.007133333,18,4
BB19_16,0.065966667,18,8
BB19_16,0.1754,18,20
BB19_16,0.2242,18,24
BB19_16,0.2449,18,28
BB19_16,0.2644,18,32
BB19_16,0.2933,18,44
BB19_16,0.280533333,18,48
BB19_16,0.277833333,18,52
BB19_16,0.273166667,18,56
BB19_16,0.2701,18,68
BB19_16,0.2548,18,72
BB19_16,0.2538,18,76
BB19_16,0.2491,18,80
BB19_16,0.2392,18,92
BB19_16,0.231,18,96
BB19_16,0.22532,18,100
BB19_16,0.2268,18,104
BB19_16,0.228166667,18,116
BB19_16,0.22,18,120
BB19_16,0.0032,21,0
BB19_16,0.009133333,21,4
BB19_16,0.08885,21,8
BB19_16,0.2014,21,20
BB19_16,0.224,21,24
BB19_16,0.2492,21,28
BB19_16,0.271,21,32
BB19_16,0.273266667,21,44
BB19_16,0.2533,21,48
BB19_16,0.2439,21,52
BB19_16,0.2397,21,56
BB19_16,0.236333333,21,68
BB19_16,0.2287,21,72
BB19_16,0.22645,21,76
BB19_16,0.2264,21,80
BB19_16,0.22855,21,92
BB19_16,0.2192,21,96
BB19_16,0.2213,21,100
BB19_16,0.22125,21,104
BB19_16,0.2602,21,116
BB19_16,0.258,21,120
BB19_16,0.015,25,0
BB19_16,0.0355,25,4
BB19_16,0.1503,25,8
BB19_16,0.2368,25,20
BB19_16,0.266466667,25,24
BB19_16,0.273916667,25,28
BB19_16,0.26505,25,32
BB19_16,0.2578,25,44
BB19_16,0.269533333,25,48
BB19_16,0.2782,25,52
BB19_16,0.2618,25,56
BB19_16,0.264,25,68
BB19_16,0.2654,25,72
BB19_16,0.246633333,25,76
BB19_16,0.284166667,25,80
BB19_16,0.298366667,25,92
BB19_16,0.3075,25,96
BB19_16,0.307866667,25,100
BB19_16,0.3088,25,104
BB19_16,0.3028,25,116
BB19_16,0.3045,25,120
BB19_16,0.008,28,0
BB19_16,0.045666667,28,4
BB19_16,0.0918,28,8
BB19_16,0.219533333,28,20
BB19_16,0.243666667,28,24
BB19_16,0.257666667,28,28
BB19_16,0.263533333,28,32
BB19_16,0.274733333,28,44
BB19_16,0.267066667,28,48
BB19_16,0.263433333,28,52
BB19_16,0.269833333,28,56
BB19_16,0.261266667,28,68
BB19_16,0.256433333,28,72
BB19_16,0.2455,28,76
BB19_16,0.241333333,28,80
BB19_16,0.232666667,28,92
BB19_16,0.22,28,96
BB19_16,0.225,28,100
BB19_16,0.207666667,28,104
