Spent_media,Temp,Species,Rmax,K,AUC,AUCf,aucratio,log10(ratio)
S18,15,BB19_16,0.116266312,0.249419683,25.4825,28.36453333,0.898393064,-0.0465 
S18,18,BB19_16,0.193900881,0.198520689,21.43727499,26.72568,0.802122715,-0.0958 
S18,21,BB19_16,0.199863537,0.195380714,20.85999999,25.99873333,0.802346781,-0.0956 
S18,25,BB19_16,0.223272127,0.17835336,18.93233334,30.68213334,0.617047489,-0.2097 
S18,28,BB19_16,0.149197088,0.115910109,12.84633333,26.71133333,0.480931939,-0.3179 
S18,12,WYC41_02,0.168195269,0.220862983,23.938475,17.44893333,1.37191624,0.1373 
S18,15,WYC41_02,0.250880885,0.202105363,23.06336667,17.09456666,1.349163575,0.1301 
S18,18,WYC41_02,0.319489329,0.174261558,19.485,23.02688,0.84618498,-0.0725 
S18,21,WYC41_02,1.533159429,0.175167205,19.82025001,25.14486667,0.788242398,-0.1033 
S18,25,WYC41_02,0.03895612,0.573112269,40.78308331,28.2622,1.443025784,0.1593 
S18,28,WYC41_02,0.136908923,0.317365814,33.07856666,24.62386667,1.343353873,0.1282 
S18,12,WYM25_02,0.60070329,-0.005423814,-0.578563328,17.8912,-0.032337872,#NUM!
S18,15,WYM25_02,0.309383668,0.214169449,21.1905,17.62583333,1.202241029,0.0800 
S18,18,WYM25_02,0.620277285,0.163896751,18.30650001,23.33681334,0.784447291,-0.1054 
S18,21,WYM25_02,0.346223526,0.159135405,18.0585,24.45086667,0.738562777,-0.1316 
S18,25,WYM25_02,0.057053053,0.305140624,27.45303331,29.46093334,0.931845335,-0.0307 
S18,28,WYM25_02,0.200041822,0.289638917,31.05058331,27.74326666,1.119211508,0.0489 
S18,12,WYM25_03,0.19358591,0.190827117,19.52067,17.68059999,1.104072826,0.0430 
S18,15,WYM25_03,0.261509011,0.185319704,21.14891667,17.14933335,1.233220921,0.0910 
S18,18,WYM25_03,0.744501994,-0.003109356,-0.401000001,21.66688,-0.01850751,#NUM!
S18,21,WYM25_03,1.256969333,0.174412844,19.834875,23.2406,0.853457957,-0.0688 
S18,25,WYM25_03,0.06763297,0.247276228,24.21783331,26.28133334,0.921484196,-0.0355 
S18,28,WYM25_03,0.080445611,0.263191218,26.42875001,23.70446665,1.114927005,0.0472 
S18,12,BB13_09,0.124710403,0.232770368,23.93371667,17.3386,1.380371926,0.1400 
S18,15,BB13_09,0.239751242,0.207577776,22.83366667,20.42733334,1.11779968,0.0484 
S18,18,BB13_09,4.38264595,-0.002690476,-0.341000013,23.93607999,-0.014246276,#NUM!
S18,21,BB13_09,1.48796894,0.161154322,18.21675,22.58153333,0.806710055,-0.0933 
S18,25,BB13_09,0.065793385,0.28358169,24.93843331,25.85166668,0.964674101,-0.0156 
S18,28,BB13_09,0.43406639,0.195486336,18.93091664,11.78426666,1.606456913,0.2059 
S18,12,SP03_02,0.241543931,0.19963028,21.55523332,21.59753335,0.998041442,-0.0009 
S18,15,SP03_02,0.176610164,0.204475285,22.02783333,20.90153334,1.053885998,0.0228 
