spent-media,temp(SM),temp(G),species,OD,time point
BB13_09,12,28(12),S18(BB13_09),0.001333333,95
BB13_09,12,28(12),S18(BB13_09),0.001333333,101
BB13_09,12,28(12),S18(BB13_09),0.002333333,114
BB13_09,12,28(12),S18(BB13_09),0.002333333,120
BB13_09,18,28(18),S18(BB13_09),0.017833333,0
BB13_09,18,28(18),S18(BB13_09),0.0165,6
BB13_09,18,28(18),S18(BB13_09),0.010333333,18
BB13_09,18,28(18),S18(BB13_09),0.009,23
BB13_09,18,28(18),S18(BB13_09),0.0135,29
BB13_09,18,28(18),S18(BB13_09),0.011833333,42
BB13_09,18,28(18),S18(BB13_09),0.009166667,47
BB13_09,18,28(18),S18(BB13_09),0.007166667,53
BB13_09,18,28(18),S18(BB13_09),0.007666667,67
BB13_09,18,28(18),S18(BB13_09),0.0175,72
BB13_09,18,28(18),S18(BB13_09),0.007166667,77
BB13_09,18,28(18),S18(BB13_09),0.006666667,90
BB13_09,18,28(18),S18(BB13_09),0.01,96
BB13_09,18,28(18),S18(BB13_09),0.019,101
BB13_09,18,28(18),S18(BB13_09),0.016,114
BB13_09,28,12(28),S56(BB13_09),0.019733333,0
BB13_09,28,12(28),S56(BB13_09),0.021566667,18
BB13_09,28,12(28),S56(BB13_09),0.022633333,24
BB13_09,28,12(28),S56(BB13_09),0.0224,30
BB13_09,28,12(28),S56(BB13_09),0.021133333,42
BB13_09,28,12(28),S56(BB13_09),0.0225,48
BB13_09,28,12(28),S56(BB13_09),0.0207,54
BB13_09,28,12(28),S56(BB13_09),0.0201,72
BB13_09,28,12(28),S56(BB13_09),0.021666667,78
BB13_09,28,12(28),S56(BB13_09),0.0217,90
BB13_09,28,12(28),S56(BB13_09),0.020466667,96
BB13_09,28,12(28),S56(BB13_09),0.021766667,102
BB13_09,28,12(28),S56(BB13_09),0.022833333,114
BB13_09,28,12(28),S56(BB13_09),0.0249,120
BB13_09,21,12(21),S56(BB13_09),0.008,0
BB13_09,21,12(21),S56(BB13_09),0.008833333,13
BB13_09,21,12(21),S56(BB13_09),0.009916667,19
BB13_09,21,12(21),S56(BB13_09),0.012,25
BB13_09,21,12(21),S56(BB13_09),0.01225,38
BB13_09,21,12(21),S56(BB13_09),0.012583333,43
BB13_09,21,12(21),S56(BB13_09),0.0115,49
BB13_09,21,12(21),S56(BB13_09),0.011333333,62
BB13_09,21,12(21),S56(BB13_09),0.011083333,67
BB13_09,21,12(21),S56(BB13_09),0.011758333,73
BB13_09,21,12(21),S56(BB13_09),0.011583333,86
BB13_09,21,12(21),S56(BB13_09),0.011416667,92
BB13_09,21,12(21),S56(BB13_09),0.01075,98
BB13_09,21,12(21),S56(BB13_09),0.008916667,110
BB13_09,21,12(21),S56(BB13_09),0.008916667,116
BB13_09,25,15(25),S56(BB13_09),0.0065,0
BB13_09,25,15(25),S56(BB13_09),0.014166667,6
BB13_09,25,15(25),S56(BB13_09),0.007333333,24
BB13_09,25,15(25),S56(BB13_09),0.007166667,30
BB13_09,25,15(25),S56(BB13_09),0.006333333,43
BB13_09,25,15(25),S56(BB13_09),0.006,48
BB13_09,25,15(25),S56(BB13_09),0.005666667,54
BB13_09,25,15(25),S56(BB13_09),0.004666667,67
BB13_09,25,15(25),S56(BB13_09),0.005,72
BB13_09,25,15(25),S56(BB13_09),0.005666667,78
BB13_09,25,15(25),S56(BB13_09),0.006,91
BB13_09,25,15(25),S56(BB13_09),0.0055,96
BB13_09,25,15(25),S56(BB13_09),0.005333333,102
BB13_09,25,15(25),S56(BB13_09),0.005666667,114
BB13_09,28,18(28),S56(BB13_09),0.013166667,0
BB13_09,28,18(28),S56(BB13_09),0.013166667,6
BB13_09,28,18(28),S56(BB13_09),0.013833333,20
BB13_09,28,18(28),S56(BB13_09),0.015083333,24
BB13_09,28,18(28),S56(BB13_09),0.01525,30
BB13_09,28,18(28),S56(BB13_09),0.01775,44
BB13_09,28,18(28),S56(BB13_09),0.0195,49
BB13_09,28,18(28),S56(BB13_09),0.024833333,55
BB13_09,28,18(28),S56(BB13_09),0.035166667,68
BB13_09,28,18(28),S56(BB13_09),0.04275,74
BB13_09,28,18(28),S56(BB13_09),0.054833333,79
BB13_09,28,18(28),S56(BB13_09),0.082583333,91
BB13_09,28,18(28),S56(BB13_09),0.13175,97
BB13_09,28,18(28),S56(BB13_09),0.193333333,102
BB13_09,28,18(28),S56(BB13_09),0.21775,114
BB13_09,12,21(12),S56(BB13_09),0.001416667,0
BB13_09,12,21(12),S56(BB13_09),0.048916667,13
BB13_09,12,21(12),S56(BB13_09),0.076416667,18
BB13_09,12,21(12),S56(BB13_09),0.163166667,24
BB13_09,12,21(12),S56(BB13_09),0.207166667,37
BB13_09,12,21(12),S56(BB13_09),0.207,42
BB13_09,12,21(12),S56(BB13_09),0.2175,48
BB13_09,12,21(12),S56(BB13_09),0.25775,61
BB13_09,12,21(12),S56(BB13_09),0.264666667,66
BB13_09,12,21(12),S56(BB13_09),0.277333333,72
BB13_09,12,21(12),S56(BB13_09),0.300333333,85
BB13_09,12,21(12),S56(BB13_09),0.2945,90
BB13_09,12,21(12),S56(BB13_09),0.303333333,96
BB13_09,12,21(12),S56(BB13_09),0.31625,108
BB13_09,12,21(12),S56(BB13_09),0.302166667,114
BB13_09,15,25(15),S56(BB13_09),0.012166667,0
BB13_09,15,25(15),S56(BB13_09),0.0085,6
BB13_09,15,25(15),S56(BB13_09),0.006333333,24
BB13_09,15,25(15),S56(BB13_09),0.007833333,31
BB13_09,15,25(15),S56(BB13_09),0.0075,45
BB13_09,15,25(15),S56(BB13_09),0.007,49
BB13_09,15,25(15),S56(BB13_09),0.008666667,55
BB13_09,15,25(15),S56(BB13_09),0.006833333,68
BB13_09,15,25(15),S56(BB13_09),0.007833333,73
BB13_09,15,25(15),S56(BB13_09),0.006333333,79
BB13_09,15,25(15),S56(BB13_09),0.014333333,92
